nom_plante,numero_etape,titre_etape,description_etape
Tomate,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Tomate,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Tomate,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Tomate,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Tomate,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Basilic,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Basilic,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Basilic,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Basilic,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Basilic,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Menthe,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Menthe,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Menthe,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Menthe,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Menthe,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Romarin,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Romarin,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Romarin,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Romarin,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Romarin,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Lavande,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Lavande,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Lavande,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
