event_id,title,location,category,plant_step,description
event_1,Atelier Biodiversité - Étape Entretien à Ariana,Ariana,Biodiversité,Entretien,"Événement sur la biodiversité, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_2,Atelier Conférences Écologiques - Étape Germination à Tunis,Tunis,Conférences Écologiques,Germination,"Événement sur la conférences écologiques, focus sur l'étape Germination de la végétalisation urbaine en Tunisie."
event_3,Atelier Biodiversité - Étape Récolte à Bizerte,Bizerte,Biodiversité,Récolte,"Événement sur la biodiversité, focus sur l'étape Récolte de la végétalisation urbaine en Tunisie."
event_4,Atelier Jardinage Urbain - Étape Entretien à Ariana,Ariana,Jardinage Urbain,Entretien,"Événement sur la jardinage urbain, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_5,Atelier Ateliers Végétaux - Étape Entretien à Sousse,Sousse,Ateliers Végétaux,Entretien,"Événement sur la ateliers végétaux, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_6,Atelier Événements Communautaires - Étape Récolte à Kairouan,Kairouan,Événements Communautaires,Récolte,"Événement sur la événements communautaires, focus sur l'étape Récolte de la végétalisation urbaine en Tunisie."
event_7,Atelier Conférences Écologiques - Étape Entretien à Ariana,Ariana,Conférences Écologiques,Entretien,"Événement sur la conférences écologiques, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_8,Atelier Événements Communautaires - Étape Entretien à Monastir,Monastir,Événements Communautaires,Entretien,"Événement sur la événements communautaires, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_9,Atelier Conférences Écologiques - Étape Entretien à Ariana,Ariana,Conférences Écologiques,Entretien,"Événement sur la conférences écologiques, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_10,Atelier Biodiversité - Étape Entretien à Monastir,Monastir,Biodiversité,Entretien,"Événement sur la biodiversité, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_11,Atelier Conférences Écologiques - Étape Croissance à Sfax,Sfax,Conférences Écologiques,Croissance,"Événement sur la conférences écologiques, focus sur l'étape Croissance de la végétalisation urbaine en Tunisie."
event_12,Atelier Ateliers Végétaux - Étape Entretien à Bizerte,Bizerte,Ateliers Végétaux,Entretien,"Événement sur la ateliers végétaux, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_13,Atelier Biodiversité - Étape Entretien à Gabes,Gabes,Biodiversité,Entretien,"Événement sur la biodiversité, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_14,Atelier Jardinage Urbain - Étape Germination à Gabes,Gabes,Jardinage Urbain,Germination,"Événement sur la jardinage urbain, focus sur l'étape Germination de la végétalisation urbaine en Tunisie."
event_15,Atelier Ateliers Végétaux - Étape Croissance à Tunis,Tunis,Ateliers Végétaux,Croissance,"Événement sur la ateliers végétaux, focus sur l'étape Croissance de la végétalisation urbaine en Tunisie."
event_16,Atelier Événements Communautaires - Étape Plantation à Kairouan,Kairouan,Événements Communautaires,Plantation,"Événement sur la événements communautaires, focus sur l'étape Plantation de la végétalisation urbaine en Tunisie."
event_17,Atelier Jardinage Urbain - Étape Croissance à Bizerte,Bizerte,Jardinage Urbain,Croissance,"Événement sur la jardinage urbain, focus sur l'étape Croissance de la végétalisation urbaine en Tunisie."
event_18,Atelier Conférences Écologiques - Étape Plantation à Bizerte,Bizerte,Conférences Écologiques,Plantation,"Événement sur la conférences écologiques, focus sur l'étape Plantation de la végétalisation urbaine en Tunisie."
event_19,Atelier Ateliers Végétaux - Étape Germination à Kairouan,Kairouan,Ateliers Végétaux,Germination,"Événement sur la ateliers végétaux, focus sur l'étape Germination de la végétalisation urbaine en Tunisie."
event_20,Atelier Jardinage Urbain - Étape Entretien à Ariana,Ariana,Jardinage Urbain,Entretien,"Événement sur la jardinage urbain, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_21,Atelier Ateliers Végétaux - Étape Germination à Monastir,Monastir,Ateliers Végétaux,Germination,"Événement sur la ateliers végétaux, focus sur l'étape Germination de la végétalisation urbaine en Tunisie."
event_22,Atelier Biodiversité - Étape Croissance à Ariana,Ariana,Biodiversité,Croissance,"Événement sur la biodiversité, focus sur l'étape Croissance de la végétalisation urbaine en Tunisie."
event_23,Atelier Conférences Écologiques - Étape Entretien à Tunis,Tunis,Conférences Écologiques,Entretien,"Événement sur la conférences écologiques, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_24,Atelier Biodiversité - Étape Croissance à Sousse,Sousse,Biodiversité,Croissance,"Événement sur la biodiversité, focus sur l'étape Croissance de la végétalisation urbaine en Tunisie."
event_25,Atelier Événements Communautaires - Étape Germination à Gabes,Gabes,Événements Communautaires,Germination,"Événement sur la événements communautaires, focus sur l'étape Germination de la végétalisation urbaine en Tunisie."
event_26,Atelier Biodiversité - Étape Plantation à Kairouan,Kairouan,Biodiversité,Plantation,"Événement sur la biodiversité, focus sur l'étape Plantation de la végétalisation urbaine en Tunisie."
event_27,Atelier Conférences Écologiques - Étape Plantation à Sousse,Sousse,Conférences Écologiques,Plantation,"Événement sur la conférences écologiques, focus sur l'étape Plantation de la végétalisation urbaine en Tunisie."
event_28,Atelier Événements Communautaires - Étape Germination à Tunis,Tunis,Événements Communautaires,Germination,"Événement sur la événements communautaires, focus sur l'étape Germination de la végétalisation urbaine en Tunisie."
event_29,Atelier Événements Communautaires - Étape Entretien à Sfax,Sfax,Événements Communautaires,Entretien,"Événement sur la événements communautaires, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_30,Atelier Ateliers Végétaux - Étape Récolte à Sousse,Sousse,Ateliers Végétaux,Récolte,"Événement sur la ateliers végétaux, focus sur l'étape Récolte de la végétalisation urbaine en Tunisie."
event_31,Atelier Jardinage Urbain - Étape Récolte à Sousse,Sousse,Jardinage Urbain,Récolte,"Événement sur la jardinage urbain, focus sur l'étape Récolte de la végétalisation urbaine en Tunisie."
event_32,Atelier Événements Communautaires - Étape Plantation à Monastir,Monastir,Événements Communautaires,Plantation,"Événement sur la événements communautaires, focus sur l'étape Plantation de la végétalisation urbaine en Tunisie."
event_33,Atelier Biodiversité - Étape Récolte à Tunis,Tunis,Biodiversité,Récolte,"Événement sur la biodiversité, focus sur l'étape Récolte de la végétalisation urbaine en Tunisie."
event_34,Atelier Événements Communautaires - Étape Entretien à Tunis,Tunis,Événements Communautaires,Entretien,"Événement sur la événements communautaires, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_35,Atelier Biodiversité - Étape Entretien à Sousse,Sousse,Biodiversité,Entretien,"Événement sur la biodiversité, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_36,Atelier Événements Communautaires - Étape Croissance à Tunis,Tunis,Événements Communautaires,Croissance,"Événement sur la événements communautaires, focus sur l'étape Croissance de la végétalisation urbaine en Tunisie."
event_37,Atelier Jardinage Urbain - Étape Germination à Tunis,Tunis,Jardinage Urbain,Germination,"Événement sur la jardinage urbain, focus sur l'étape Germination de la végétalisation urbaine en Tunisie."
event_38,Atelier Ateliers Végétaux - Étape Croissance à Kairouan,Kairouan,Ateliers Végétaux,Croissance,"Événement sur la ateliers végétaux, focus sur l'étape Croissance de la végétalisation urbaine en Tunisie."
event_39,Atelier Jardinage Urbain - Étape Plantation à Tunis,Tunis,Jardinage Urbain,Plantation,"Événement sur la jardinage urbain, focus sur l'étape Plantation de la végétalisation urbaine en Tunisie."
event_40,Atelier Ateliers Végétaux - Étape Croissance à Sfax,Sfax,Ateliers Végétaux,Croissance,"Événement sur la ateliers végétaux, focus sur l'étape Croissance de la végétalisation urbaine en Tunisie."
event_41,Atelier Ateliers Végétaux - Étape Entretien à Sfax,Sfax,Ateliers Végétaux,Entretien,"Événement sur la ateliers végétaux, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_42,Atelier Jardinage Urbain - Étape Entretien à Tunis,Tunis,Jardinage Urbain,Entretien,"Événement sur la jardinage urbain, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
event_43,Atelier Biodiversité - Étape Entretien à Sfax,Sfax,Biodiversité,Entretien,"Événement sur la biodiversité, focus sur l'étape Entretien de la végétalisation urbaine en Tunisie."
